id,scheduled,duration_TM,waitingTime_TM,timeLoss_TM,routeLength_TM,departDelay_TM,rerouteNo_TM,duration_RL,waitingTime_RL,timeLoss_RL,routeLength_RL,departDelay_RL,rerouteNo_RL
veh7372,2446.0,702.0,449.0,573.23,1757.54,4.0,5.0,368.0,177.0,278.73,1217.97,3.0,1.0
veh7373,2446.0,567.0,429.0,491.15,1002.45,4.0,1.0,263.0,160.0,186.86,1002.45,0.0,1.0
veh7374,2446.0,432.0,270.0,343.37,1208.46,1012.0,2.0,343.0,248.0,292.69,679.5,7.0,1.0
veh7375,2447.0,2455.0,1793.0,2104.01,4276.52,2054.0,21.0,1845.0,1318.0,1584.88,3152.75,691.0,31.0
veh7376,2447.0,349.0,167.0,242.51,1235.62,129.0,3.0,167.0,34.0,60.93,1235.62,44.0,1.0
veh7377,2447.0,1605.0,1300.0,1494.5,1516.83,213.0,15.0,1883.0,1381.0,1733.08,2039.56,270.0,26.0
veh7378,2448.0,592.0,466.0,521.08,960.55,992.0,4.0,715.0,500.0,604.52,1524.25,549.0,2.0
veh7379,2448.0,530.0,396.0,451.19,975.71,0.0,1.0,191.0,91.0,112.22,976.28,0.0,1.0
veh738,244.0,144.0,50.0,74.27,951.61,0.0,1.0,186.0,97.0,116.0,938.68,0.0,1.0
veh7380,2448.0,274.0,138.0,171.24,1242.29,4.0,2.0,451.0,285.0,348.69,1234.91,1.0,2.0
veh7381,2449.0,549.0,359.0,460.22,1217.16,1.0,1.0,437.0,279.0,347.62,1217.16,15.0,1.0
veh7382,2449.0,563.0,339.0,434.95,1474.17,2.0,2.0,572.0,362.0,442.42,1497.16,16.0,1.0
veh7383,2449.0,255.0,114.0,182.13,1004.51,3.0,1.0,1132.0,1020.0,1062.82,957.39,17.0,1.0
veh7384,2450.0,766.0,492.0,636.17,1763.43,0.0,5.0,703.0,447.0,573.59,1758.66,154.0,8.0
veh7385,2450.0,323.0,161.0,233.2,1220.87,1.0,2.0,689.0,466.0,558.33,1777.11,0.0,2.0
veh7386,2450.0,128.0,59.0,78.31,653.96,56.0,1.0,84.0,15.0,33.83,653.96,3.0,1.0
