Run,CurrentTree,Uniform,Actuated
1,407,603,679
2,402,610,613
3,323,592,661
4,420,578,601
5,421,599,603
6,344,622,650
7,329,605,634
8,331,621,646
9,358,598,655
10,331,602,653
11,357,619,653
12,344,607,644
13,326,596,621
14,380,593,651
15,379,596,638
16,337,597,639
17,377,577,610
18,330,603,623
19,351,596,677
20,397,661,638
