Run,Tree,Uniform,Actuated
1,18441,15388,14136
2,18373,15185,15138
3,18678,15397,14904
4,18295,15475,15344
5,18391,15177,15404
6,18797,14760,15000
7,18437,14483,14846
8,18564,15332,14935
9,18685,15264,15024
10,18668,15307,14589
11,18697,14960,14958
12,18586,14702,15107
13,18648,14983,15271
14,18593,14671,14653
15,18687,15257,14735
16,18528,14908,15431
17,18554,15640,14909
18,18544,14749,14989
19,18299,15210,14458
20,18319,14933,15180
