output,share_clipped,min,median,max,std_settled
F0_2,0.939,-11.41,-11.04,-6.42,0.393
F0_3,1.0,-186.62,-180.21,-109.31,6.064
F1_0,0.976,-14.4,-13.64,-9.07,0.563
F1_1,0.988,-18.09,-17.36,-9.63,0.597
F1_2,0.988,-16.3,-15.56,-8.22,0.539
F1_3,1.0,-23.27,-22.14,-12.61,0.843
F2_0,0.0,-6.64,-2.52,-1.36,0.58
F2_1,1.0,-21.77,-20.9,-11.28,0.762
F2_2,0.988,-16.94,-16.29,-9.2,0.542
F2_3,0.988,-14.62,-13.74,-9.99,0.312
F3_0,0.0,-5.49,-4.3,-3.28,0.501
F3_1,1.0,-23.19,-22.22,-12.38,0.723
F3_2,0.988,-14.78,-14.14,-8.32,0.343
F3_3,1.0,-23.39,-22.04,-11.28,1.016
F4_0,0.988,-18.24,-16.91,-9.94,0.875
F4_1,1.0,-21.83,-20.8,-13.63,0.525
F4_2,0.988,-16.01,-15.11,-7.95,0.661
F4_3,1.0,-17.66,-16.66,-10.81,0.516
F5_0,0.988,-14.78,-13.89,-8.44,0.567
F5_1,0.0,-3.46,-1.43,1.37,1.084
F5_2,0.988,-17.24,-16.38,-9.47,0.386
F5_3,1.0,-188.97,-182.56,-110.8,6.124
