Run,CurrentTree,Uniform,Actuated
1,267,445,315
2,261,464,327
3,264,441,358
4,266,429,339
5,266,442,330
6,271,440,344
7,262,431,333
8,260,452,329
9,264,441,349
10,264,444,331
11,256,478,321
12,258,432,316
13,264,449,333
14,258,421,315
15,260,434,340
16,262,465,338
17,256,437,343
18,254,440,324
19,254,471,319
20,263,439,343
