Run,Tree,Uniform,Actuated
1,16068,8145,14156
2,15978,11950,12914
3,15915,12916,13686
4,15973,12277,13209
5,16202,13616,13348
6,16086,13148,13978
7,16005,12213,12524
8,15967,12984,13584
9,15959,11437,13241
10,16159,13661,12660
11,15883,12096,13645
12,16051,12662,7629
13,15995,12422,14370
14,15868,12352,13676
15,16136,12346,13914
16,15815,12545,14260
17,12651,12095,13545
18,16233,12284,13253
19,15911,12516,13684
20,16080,12203,13937
