time,tls,d0,d1,d2,d3
630,B1,21,27,21,21
630,B2,24,22,22,22
630,B4,24,22,22,22
630,B5,60,10,10,10
630,C0,20,20,30,20
630,C1,24,22,22,22
630,C2,58,12,10,10
630,C3,60,10,10,10
630,C4,57,11,11,11
630,C5,57,11,11,11
630,D0,24,22,22,22
630,D1,19,19,33,19
630,D2,45,15,15,15
630,D3,24,22,22,22
630,D4,24,22,22,22
630,D5,13,13,51,13
630,E0,24,22,22,22
630,E1,24,22,22,22
630,E2,24,22,22,22
630,E3,60,10,10,10
630,E4,11,11,57,11
630,E5,10,10,60,10
630,F0,24,22,22,22
630,F1,24,22,22,22
630,F2,60,10,10,10
630,F3,60,10,10,10
630,F4,24,22,22,22
630,F5,10,60,10,10
720,A0,54,12,12,12
720,A1,24,22,22,22
720,A2,11,11,57,11
720,A4,60,10,10,10
720,A5,30,20,20,20
720,B0,24,22,22,22
720,B1,20,30,20,20
720,B2,24,22,22,22
720,B4,24,22,22,22
720,B5,60,10,10,10
720,C0,20,20,30,20
720,C1,24,22,22,22
720,C2,59,11,10,10
720,C3,60,10,10,10
720,C4,59,10,11,10
720,C5,57,11,11,11
720,D0,24,22,22,22
720,D1,18,18,36,18
720,D2,45,15,15,15
720,D3,24,22,22,22
720,D4,24,22,22,22
720,D5,12,12,54,12
720,E0,24,22,22,22
720,E1,24,22,22,22
720,E2,24,22,22,22
720,E3,60,10,10,10
720,E4,11,11,57,11
720,E5,10,10,60,10
720,F0,24,22,22,22
720,F1,24,22,22,22
720,F2,60,10,10,10
720,F3,60,10,10,10
720,F4,24,22,22,22
720,F5,10,60,10,10
810,A0,54,12,12,12
810,A1,24,22,22,22
810,A2,11,11,57,11
810,A4,60,10,10,10
810,A5,27,21,21,21
810,B0,24,22,22,22
810,B1,19,33,19,19
810,B2,24,22,22,22
810,B4,24,22,22,22
810,B5,60,10,10,10
810,C0,21,21,27,21
810,C1,24,22,22,22
810,C2,58,12,10,10
810,C3,60,10,10,10
810,C4,59,10,11,10
