timestamp,total_vehicles,vehicles_waiting,total_waiting_time,avg_speed_kmh,throughput,avg_occupancy,avg_density,num_bottleneck_edges,total_flow,avg_edge_travel_time,vehicles_arrived,avg_trip_duration,avg_waiting_per_vehicle,phase_green_ratio,avg_queue_length,total_vehicle_minutes_lost
90,271,141,3473.0,16.79067989899495,0,0.039562104540018496,7.935946935313085,77,921600,5853.8685272485645,0,0.0,12.81549815498155,1.0,0.39166666666666666,0.0
180,484,301,7613.0,13.500396694955533,0,0.06925010538167185,13.982397863566744,110,1616400,8773.075850102636,0,0.0,15.729338842975206,1.0,0.7916666666666666,0.0
270,638,390,10909.0,13.127385816270662,2,0.08580859204288922,17.25298470245321,130,2088000,10145.140895617007,2,0.0,17.098746081504704,1.0,0.9722222222222222,0.0
360,739,478,13024.0,11.545417264420996,3,0.09680781646695984,19.455566865528986,148,2422800,11115.444231540785,3,0.0,17.62381596752368,1.0,1.1,0.0
450,806,538,16075.0,10.778529424138288,4,0.09895216865223595,19.988116203300965,145,2649600,11629.670664625179,4,0.0,19.944168734491313,1.0,1.125,0.0
540,887,588,17574.0,10.430404704063875,2,0.10908420003155975,22.026172345354436,154,2890800,12351.587346576931,2,0.0,19.81285231116122,1.0,1.2472222222222222,0.0
630,955,636,18664.0,9.931813364701183,5,0.11038224819517851,22.331720010487544,149,3110400,11618.956946233287,5,0.0,19.543455497382197,1.0,1.2472222222222222,0.0
720,1037,689,24149.0,10.183427807148538,5,0.11579418463960403,23.384542457258107,149,3337200,10865.75679565814,5,0.0,23.287367405978785,1.0,1.2805555555555554,0.0
810,1107,751,30073.0,8.87518763641139,1,0.11912693252570956,24.023706502308123,161,3574800,12246.31426720776,1,0.0,27.166214995483287,1.0,1.2694444444444444,0.0
900,1169,828,32346.0,8.762077547185967,2,0.12744643370472525,25.829443323964586,160,3772800,11312.379334212026,2,0.0,27.669803250641575,1.0,1.4361111111111111,0.0
990,1237,884,29266.0,7.883468061631372,4,0.13402993988714146,27.080941185223423,168,3934800,12127.762357212836,4,0.0,23.658852061438964,1.0,1.5194444444444444,0.0
1080,1301,886,26128.0,8.613278762354987,1,0.14389052924522042,29.25822018854537,173,4111200,12129.713474055925,1,0.0,20.083013066871636,1.0,1.6,0.0
1170,1409,965,35347.0,8.169335064594886,2,0.14483020492196216,29.269663400200987,178,4496400,13510.099216547744,2,0.0,25.086586231369765,1.0,1.613888888888889,0.0
1260,1494,1066,41255.0,7.511748118027538,1,0.16354605173485667,33.04428076886284,188,4730400,13898.613015809944,1,0.0,27.613788487282463,1.0,1.8611111111111112,0.0
1350,1546,1109,39894.0,6.635897742004359,3,0.1608838136390135,32.5315758007708,197,4903200,13774.039436584768,3,0.0,25.804657179818886,1.0,1.8194444444444444,0.0
1440,1583,1154,43537.0,7.06264396506419,1,0.16363918434550684,33.039510862912984,191,5076000,13892.26885474999,1,0.0,27.5028427037271,1.0,1.788888888888889,0.0
1530,1618,1177,51525.0,7.151202468632283,1,0.16376726988947748,33.1373544865373,192,5205600,14346.323850449124,1,0.0,31.84487021013597,1.0,1.8388888888888888,0.0
1620,1665,1191,43689.0,6.9724707563591615,1,0.16121820890524344,32.686971147127856,197,5313600,13345.15378518449,1,0.0,26.23963963963964,1.0,1.7166666666666666,0.0
1710,1720,1270,56871.0,6.015377503455739,5,0.16433534476191192,33.151182653320625,184,5533200,13154.482323399014,5,0.0,33.06453488372093,1.0,1.7555555555555555,0.0
1800,1806,1365,70782.0,5.400183056000401,0,0.1713207441233841,34.67128767093626,200,5756400,14651.414605757462,0,0.0,39.19269102990033,1.0,1.8416666666666666,0.0
1890,1890,1453,73703.0,5.175065972020275,3,0.18452409277041493,37.218529639346066,221,6076800,16474.13652694135,3,0.0,38.99629629629629,1.0,2.0055555555555555,0.0
1980,1932,1480,70289.0,5.3922529877985,1,0.18819773250747127,38.11357925060578,222,6253200,16091.772028074396,1,0.0,36.381469979296064,1.0,2.0722222222222224,0.0
2070,2012,1533,76799.0,4.856872109325209,5,0.1878316780923911,38.170600337980694,224,6465600,18097.8235119057,5,0.0,38.17047713717694,1.0,2.0805555555555557,0.0
2160,2087,1559,87081.0,5.630901879479317,1,0.18693722486169503,37.8537199627809,220,6674400,16000.098625254084,1,0.0,41.72544321993292,1.0,1.975,0.0
2250,2167,1612,75556.0,5.794352830786742,4,0.20479866940794553,41.62673924610891,233,6984000,17490.03001634831,4,0.0,34.866635902168895,1.0,2.202777777777778,0.0
2340,2206,1660,84374.0,5.29885573839583,3,0.20865776324108545,42.172928727787536,236,7070400,16801.407025361532,3,0.0,38.24750679963735,1.0,2.286111111111111,0.0
2430,2257,1723,78301.0,4.7360293002297835,2,0.21030599843787157,42.83270781869282,229,7246800,16096.618337478276,2,0.0,34.69251218431546,1.0,2.311111111111111,0.0
2520,2310,1824,97376.0,4.537111301946595,4,0.2125714253720053,43.11884456311216,232,7412400,17736.0844169395,4,0.0,42.15411255411255,1.0,2.352777777777778,0.0
2610,2378,1866,94810.0,4.5242079646680065,3,0.21989836278279992,44.516083408573024,228,7650000,17340.226198261287,3,0.0,39.86963835155593,1.0,2.397222222222222,0.0
2700,2411,1843,103525.0,4.846458936708169,1,0.2195724107034728,44.268201744372654,238,7786800,17386.34822861528,1,0.0,42.93861468270427,1.0,2.3055555555555554,0.0
2790,2481,1871,113847.0,5.351135837244765,0,0.2225921815784088,45.064708935275256,243,8020800,18325.055466173326,0,0.0,45.887545344619106,1.0,2.388888888888889,0.0
2880,2519,1947,92758.0,4.445988120528327,4,0.23074493159093615,46.73726059932755,255,8182800,18300.0745191465,4,0.0,36.82334259626836,1.0,2.4833333333333334,0.0
2970,2559,2066,117413.0,3.9970462669693636,5,0.23563399759893622,47.73123890565536,253,8280000,20052.09848740018,5,0.0,45.88237592809691,1.0,2.6083333333333334,0.0
3060,2603,2087,129416.0,3.8781417909808624,2,0.24006614724293449,48.621298635235824,258,8373600,19397.512385665384,2,0.0,49.71801767191702,1.0,2.672222222222222,0.0
3150,2654,2141,127854.0,3.7647730278826046,1,0.23915337496871447,48.49510568339098,254,8582400,18871.510911554014,1,0.0,48.17407686510927,1.0,2.5277777777777777,0.0
3240,2675,2085,95761.0,4.733993527251097,2,0.24535651866543795,49.69809184991412,267,8643600,19728.76844028783,2,0.0,35.798504672897195,1.0,2.6166666666666667,0.0
3330,2729,2124,114633.0,4.208363315521926,0,0.2413530053646018,49.082945705189736,269,8859600,21564.7370870514,0,0.0,42.00549651887138,1.0,2.533333333333333,0.0
3420,2797,2268,126509.0,3.3418874154595684,2,0.24170211274450548,49.0804528224686,268,9115200,19768.342396391476,2,0.0,45.23024669288523,1.0,2.563888888888889,0.0
