timestamp,total_vehicles,vehicles_waiting,total_waiting_time,avg_speed_kmh,throughput,avg_occupancy,avg_density,num_bottleneck_edges,total_flow,avg_edge_travel_time,vehicles_arrived,avg_trip_duration,avg_waiting_per_vehicle,phase_green_ratio,avg_queue_length,total_vehicle_minutes_lost
90,267,133,3136.0,18.023059253514376,0,0.03771571761996171,7.569260900020082,78,914400,5181.943390076675,0,0.0,11.745318352059925,1.0,0.36666666666666664,0.0
180,487,298,6760.0,13.445696012088735,0,0.06874812786581633,13.708257807606836,109,1576800,7709.954168483014,0,0.0,13.880903490759753,1.0,0.7611111111111111,0.0
270,666,395,9901.0,13.370715382306514,3,0.08730463180674815,17.541176556665267,129,2131200,9300.21288751352,3,0.0,14.866366366366366,1.0,0.9666666666666667,0.0
360,772,514,14290.0,10.77683471051985,3,0.0982705878444915,19.80016548923984,146,2523600,11418.369286687088,3,0.0,18.510362694300518,1.0,1.1333333333333333,0.0
450,880,565,16564.0,11.931977171227535,3,0.10714890706428036,21.581758981564622,147,2811600,11345.489695916332,3,0.0,18.822727272727274,1.0,1.2083333333333333,0.0
540,954,645,19680.0,10.82288632725091,5,0.11596767680347189,23.3388096957734,154,3016800,12029.823862609035,5,0.0,20.628930817610062,1.0,1.3194444444444444,0.0
630,1000,706,23584.0,8.890327874606147,1,0.12232464964517993,24.61999006300763,160,3171600,12432.007866394799,1,0.0,23.584,1.0,1.4305555555555556,0.0
720,1057,662,21471.0,10.574050050859155,1,0.11641877258684295,23.41276225991963,153,3315600,10839.332354063223,1,0.0,20.31315042573321,1.0,1.275,0.0
810,1145,759,24928.0,10.692113767475659,1,0.12696214321036473,25.42657176153248,153,3679200,11744.477787761001,1,0.0,21.77117903930131,1.0,1.3972222222222221,0.0
900,1230,819,30995.0,9.73127142816245,1,0.13841587135530733,28.029350006010176,169,3949200,12244.37328466929,1,0.0,25.19918699186992,1.0,1.5138888888888888,0.0
990,1260,805,27993.0,10.10743853450809,2,0.14453597195585513,29.28341344438697,178,3999600,12303.18128844831,2,0.0,22.216666666666665,1.0,1.5638888888888889,0.0
1080,1336,898,30647.0,8.984034824316756,1,0.14060296655651097,28.359632139426292,174,4269600,13171.043581664073,1,0.0,22.93937125748503,1.0,1.55,0.0
1170,1396,933,39653.0,9.068672384199168,3,0.15108442558664428,30.503124954609206,188,4413600,13107.984928345775,3,0.0,28.404727793696274,1.0,1.65,0.0
1260,1461,1011,36365.0,7.774833571776713,1,0.16161385315299445,32.620105544255665,183,4586400,12830.39487868387,1,0.0,24.890485968514717,1.0,1.8027777777777778,0.0
1350,1535,1054,39344.0,8.514308241218997,3,0.16195391367543588,32.559833207192966,196,4903200,14476.618327361231,3,0.0,25.63127035830619,1.0,1.7527777777777778,0.0
1440,1618,1067,36348.0,8.994923406249809,5,0.15866612236886976,32.10900831834312,202,5140800,13216.80041653326,5,0.0,22.464771322620518,1.0,1.6722222222222223,0.0
1530,1661,1119,37355.0,8.580603187299271,2,0.16977332696438444,34.34972088349834,207,5317200,14267.99824001065,2,0.0,22.4894641782059,1.0,1.7944444444444445,0.0
1620,1669,1076,36311.0,8.71052089442328,3,0.17096060448097855,34.48724288924068,205,5317200,13855.193513842918,3,0.0,21.756141402037148,1.0,1.7916666666666667,0.0
1710,1710,1090,36091.0,8.650439128915933,3,0.17549779855112227,35.47064180814505,224,5414400,14767.378147968324,3,0.0,21.105847953216376,1.0,1.8194444444444444,0.0
1800,1767,1093,40891.0,9.635604519811121,1,0.1708413096436979,34.56659003515527,205,5576400,12399.485042864708,1,0.0,23.14148273910583,1.0,1.6972222222222222,0.0
1890,1765,1175,41817.0,8.123480878720663,2,0.17881278096262312,35.9737223193673,212,5569200,13816.110624562878,2,0.0,23.692351274787537,1.0,1.9027777777777777,0.0
1980,1811,1237,44978.0,8.044776695380838,1,0.1845675994959657,37.069081790571325,215,5673600,14110.443101266901,1,0.0,24.836002208724462,1.0,1.9694444444444446,0.0
2070,1809,1245,57788.0,7.3448057727661125,3,0.1828073585880951,36.91305899311616,219,5709600,14752.018264051187,3,0.0,31.944720840243228,1.0,1.9555555555555555,0.0
2160,1836,1268,54561.0,7.189621548562625,1,0.18498115593656247,37.396807968206986,222,5839200,14119.965488334123,1,0.0,29.71732026143791,1.0,1.9416666666666667,0.0
2250,1920,1238,53036.0,8.442670624061755,0,0.19284223652870627,39.09228912827497,224,6055200,14378.519066705905,0,0.0,27.622916666666665,1.0,2.0194444444444444,0.0
2340,1979,1423,63990.0,6.689359816669921,2,0.18966539954866093,38.44524371629809,219,6285600,14218.413462733393,2,0.0,32.334512379989896,1.0,2.0388888888888888,0.0
2430,2023,1406,57331.0,7.465334536823502,1,0.19652474004580867,39.601857847730535,230,6451200,15223.920707905267,1,0.0,28.33959466139397,1.0,2.036111111111111,0.0
2520,2029,1411,51360.0,6.953222938723601,1,0.2014118585794,40.612006294724175,239,6494400,16584.81497489845,1,0.0,25.312962050271068,1.0,2.1194444444444445,0.0
2610,2029,1377,52416.0,7.739036281426646,1,0.20061268007745095,40.7494484466629,231,6426000,16157.572744407273,1,0.0,25.833415475603747,1.0,2.1222222222222222,0.0
2700,2042,1396,59738.0,7.444772088654981,4,0.20501799161731135,41.44706909398348,236,6465600,17368.29171815901,4,0.0,29.254652301665033,1.0,2.102777777777778,0.0
2790,2077,1446,57711.0,7.515964097423172,4,0.20351670219404663,41.184073848408346,232,6598800,16342.341910604937,4,0.0,27.785748675974965,1.0,2.1416666666666666,0.0
2880,2090,1468,72676.0,6.98003387338943,2,0.20088433837749906,40.5081760691379,237,6656400,16685.768630644456,2,0.0,34.773205741626796,1.0,2.0833333333333335,0.0
2970,2121,1525,75532.0,7.180964582124336,1,0.20982268197110687,42.3871965739007,228,6706800,15061.741033533779,1,0.0,35.61150400754361,1.0,2.1555555555555554,0.0
3060,2162,1542,74265.0,6.50673460412843,2,0.21016881596682066,42.426026738704486,242,6854400,15983.160003965606,2,0.0,34.35013876040703,1.0,2.213888888888889,0.0
3150,2171,1604,70596.0,5.626414959544911,0,0.2074377475796251,42.1039013086987,248,6976800,17282.823158248364,0,0.0,32.517733763242745,1.0,2.1666666666666665,0.0
3240,2169,1578,82621.0,6.00974458613305,1,0.211761296107077,42.88427969061212,227,6886800,15059.507681607602,1,0.0,38.09174734900876,1.0,2.2111111111111112,0.0
3330,2182,1535,92344.0,6.716372330213689,2,0.2074229216152025,41.82603766148706,236,6933600,14809.80086400807,2,0.0,42.320806599450044,1.0,2.1222222222222222,0.0
3420,2208,1520,72587.0,6.866396111537757,1,0.2121270446130495,43.02600718412743,253,7048800,15504.448449599986,1,0.0,32.874547101449274,1.0,2.15,0.0
3510,2245,1554,66777.0,6.964178502358409,2,0.20995499648889807,42.40788747744932,243,7203600,16424.5883521657,2,0.0,29.744766146993317,1.0,2.1944444444444446,0.0
3600,2225,1593,60775.0,6.114762032595061,1,0.21862451398013602,44.17288341972974,252,7110000,17575.354898768983,1,0.0,27.314606741573034,1.0,2.341666666666667,0.0
3690,2323,1613,66795.0,6.620096262455903,1,0.22554735080195148,45.72408598476719,244,7416000,15274.57667348155,1,0.0,28.75376668101593,1.0,2.275,0.0
3780,2324,1678,73952.0,6.267052292147411,1,0.22059944106085355,44.50830575114619,255,7434000,17471.60842259242,1,0.0,31.820998278829602,1.0,2.2916666666666665,0.0
3870,2329,1690,74394.0,5.8585357247607615,4,0.22667185080467006,45.79653275103855,261,7498800,17053.54563104418,4,0.0,31.942464577071704,1.0,2.397222222222222,0.0
3960,2293,1685,86064.0,6.020822974253358,2,0.2266887098064991,45.71450828418315,249,7308000,17896.990417657482,2,0.0,37.53336240732665,1.0,2.4833333333333334,0.0
4050,2258,1606,83735.0,6.578585900188454,3,0.22520370180568425,45.38143987282337,263,7192800,17287.79753762551,3,0.0,37.0837023914969,1.0,2.3916666666666666,0.0
4140,2236,1639,70720.0,6.13425218370815,4,0.21806268013939606,44.167945400231126,254,7117200,18564.474325596733,4,0.0,31.627906976744185,1.0,2.352777777777778,0.0
4230,2220,1599,76133.0,6.501326684974005,1,0.21327457085971205,43.37042242777006,251,7077600,17015.837852842535,1,0.0,34.29414414414414,1.0,2.238888888888889,0.0
4320,2210,1459,65129.0,7.91074323492496,3,0.21093682256922694,42.44420104031552,239,7009200,15430.575312191324,3,0.0,29.470135746606335,1.0,2.1277777777777778,0.0
4410,2247,1574,66571.0,7.316853807577278,2,0.2113890589206299,42.689327558223745,235,7156800,16323.040980046706,2,0.0,29.626613262127282,1.0,2.2,0.0
4500,2276,1634,68857.0,7.0799672697361595,2,0.21592305638283124,43.64651486610506,237,7282800,16516.147951254636,2,0.0,30.253514938488575,1.0,2.2944444444444443,0.0
4590,2281,1669,88729.0,6.160160981555603,1,0.20969645761370037,42.28250144920925,238,7185600,17606.287266944233,1,0.0,38.899167032003504,1.0,2.2194444444444446,0.0
4680,2289,1638,78185.0,6.1871409909905895,3,0.2215844977338496,44.706073180300194,243,7250400,15882.19409246106,3,0.0,34.1568370467453,1.0,2.286111111111111,0.0
4770,2302,1672,76939.0,6.01717280469161,2,0.2199755082950507,44.370908716521775,242,7380000,16781.93228379479,2,0.0,33.42267593397046,1.0,2.2916666666666665,0.0
4860,2337,1639,79659.0,6.796173688331937,3,0.22259830810199369,44.858335709602486,248,7416000,17247.311651900367,3,0.0,34.086007702182286,1.0,2.3,0.0
4950,2383,1746,88651.0,6.22300583422287,2,0.22103368217379304,44.77260551202802,240,7650000,16591.12609085053,2,0.0,37.20142677297524,1.0,2.3,0.0
5040,2371,1697,76860.0,6.515873526856311,0,0.21852294315917525,44.16641375321692,251,7588800,17298.26098077735,0,0.0,32.416701813580765,1.0,2.2444444444444445,0.0
5130,2391,1708,76062.0,6.6437958128027805,0,0.21778146638256196,44.2561196686238,246,7642800,16094.778266720636,0,0.0,31.811794228356337,1.0,2.238888888888889,0.0
5220,2428,1748,82571.0,5.862340506251818,1,0.22881367362806557,46.16605113826107,253,7794000,17051.03416051559,1,0.0,34.007825370675455,1.0,2.363888888888889,0.0
5310,2465,1753,82316.0,6.249319762293004,4,0.23496776954482265,47.51344734638424,260,7927200,16078.453207249657,4,0.0,33.39391480730223,1.0,2.3472222222222223,0.0
5400,2429,1764,74462.0,6.073585201087715,4,0.22151797814522717,44.68877030922168,249,7819200,16523.795419861242,4,0.0,30.655413750514615,1.0,2.3305555555555557,0.0
5490,2380,1841,78723.0,4.859692768623761,2,0.22948157805300215,46.56524280283943,253,7707600,17552.61494971316,2,0.0,33.07689075630252,1.0,2.525,0.0
5580,2338,1748,83991.0,5.458990472947668,0,0.22325609610119196,45.14644038002518,250,7567200,19024.636021829563,0,0.0,35.92429426860564,1.0,2.4055555555555554,0.0
5670,2318,1698,86106.0,6.254324538776865,3,0.21818255997213234,44.072555613221674,248,7383600,18111.006084236447,3,0.0,37.14667817083693,1.0,2.3027777777777776,0.0
5760,2392,1708,85131.0,6.215302763407536,1,0.22661671974745104,45.73630543206457,251,7614000,17091.660648928097,1,0.0,35.58988294314381,1.0,2.3833333333333333,0.0
5850,2393,1706,81368.0,6.762581989404694,3,0.22920839499681855,46.37907805269746,257,7639200,17481.57861878758,3,0.0,34.00250731299624,1.0,2.3944444444444444,0.0
5940,2385,1761,87337.0,5.7926320562951314,3,0.22046891672617142,44.430594333628186,247,7696800,17972.47939402472,3,0.0,36.619287211740044,1.0,2.2694444444444444,0.0
6030,2424,1791,81649.0,5.294963828663605,2,0.22000987225438023,44.28880597974201,255,7772400,17222.56538774537,2,0.0,33.68358085808581,1.0,2.25,0.0
6120,2416,1864,83070.0,4.989473248730824,2,0.22005847910133258,44.46602452475883,244,7783200,17071.45621073341,2,0.0,34.383278145695364,1.0,2.311111111111111,0.0
6210,2458,1799,86710.0,6.435367317608908,2,0.22227492393401585,44.96368293775779,239,7916400,16722.14094590238,2,0.0,35.276647681041496,1.0,2.313888888888889,0.0
6300,2462,1730,74873.0,6.775502922805066,2,0.23377928591116995,47.3636487849317,253,7891200,17197.324209439073,2,0.0,30.41145410235581,1.0,2.422222222222222,0.0
6390,2430,1728,70664.0,6.623205853416652,2,0.23179420358711808,46.96854285023373,257,7812000,17632.973379048053,2,0.0,29.079835390946503,1.0,2.388888888888889,0.0
6480,2402,1811,83047.0,5.9235600076814405,0,0.22687577549418989,45.81565521546783,258,7729200,17840.250089669804,0,0.0,34.57410491257286,1.0,2.3583333333333334,0.0
6570,2371,1826,112071.0,5.528514038971615,0,0.22715892637137622,45.92742574297347,257,7635600,18479.034937528053,0,0.0,47.26739772247996,1.0,2.397222222222222,0.0
6660,2345,1720,89786.0,6.2699052706944824,5,0.2159541396205249,43.529023494095874,257,7524000,18347.244612533614,5,0.0,38.28827292110874,1.0,2.2444444444444445,0.0
6750,2337,1737,87660.0,5.67823709921321,1,0.21613588371586173,43.70295728932622,251,7506000,17518.640592767642,1,0.0,37.50962772785623,1.0,2.25,0.0
6840,2367,1727,73656.0,6.337675621762886,1,0.21608273743720408,43.76789905181438,247,7563600,16994.431838838147,1,0.0,31.11787072243346,1.0,2.2333333333333334,0.0
6930,2342,1730,81402.0,5.575729309611467,2,0.22354314498558583,45.26646798733879,262,7498800,18549.284856344402,2,0.0,34.75747224594364,1.0,2.363888888888889,0.0
7020,2368,1756,84452.0,5.712750039967023,2,0.2184506299043125,44.430318158752776,257,7653600,17665.67480593976,2,0.0,35.663851351351354,1.0,2.275,0.0
7110,2337,1736,96021.0,5.923863835988718,1,0.22539675346253682,45.58786336573637,259,7531200,18384.07744056601,1,0.0,41.087291399229784,1.0,2.3944444444444444,0.0
7200,2356,1747,87146.0,6.093550908157793,1,0.22208791806552486,45.23282222691887,242,7563600,16267.302113168373,1,0.0,36.988964346349746,1.0,2.35,0.0
7290,2457,1804,90835.0,5.43223680909587,2,0.22997228692694963,46.46564655357211,264,7905600,16741.33875604287,2,0.0,36.96988196988197,1.0,2.386111111111111,0.0
7300,2473,1716,79497.0,6.475316805714683,3,0.21882695013245212,44.74578152825316,259,7938000,14942.084731505027,3,0.0,32.14597654670441,1.0,2.1083333333333334,0.0
