timestamp,total_vehicles,vehicles_waiting,total_waiting_time,avg_speed_kmh,throughput,avg_occupancy,avg_density,num_bottleneck_edges,total_flow,avg_edge_travel_time,vehicles_arrived,avg_trip_duration,avg_waiting_per_vehicle,phase_green_ratio,avg_queue_length,total_vehicle_minutes_lost
90,268,139,3103.0,16.613104677892586,0,0.038566338428306236,7.832479782944781,78,910800,6022.247519846682,0,0.0,11.578358208955224,1.0,0.37777777777777777,0.0
180,488,296,7210.0,12.999370692080053,2,0.06868886324144745,13.785770391128104,122,1645200,8894.6274971232,2,0.0,14.774590163934427,1.0,0.7388888888888889,0.0
270,632,412,11109.0,10.888979991943085,2,0.0821763617172598,16.586068048602534,126,2070000,9678.372593578397,2,0.0,17.57753164556962,1.0,0.9138888888888889,0.0
360,758,498,15961.0,11.449995472957355,5,0.09032047916092721,18.124759354343762,130,2433600,9882.454929358863,5,0.0,21.056728232189975,1.0,0.9888888888888889,0.0
450,860,570,21407.0,10.483912269917628,3,0.1016894636224709,20.501171385308023,150,2797200,13289.535339688106,3,0.0,24.891860465116277,1.0,1.1777777777777778,0.0
540,936,607,19348.0,10.99427466643785,1,0.11115410333634607,22.404436478494315,142,3024000,10341.909113344065,1,0.0,20.67094017094017,1.0,1.2277777777777779,0.0
630,1018,675,21098.0,10.032033220215762,3,0.11501846718150602,23.258213643545282,146,3283200,11013.408350963546,3,0.0,20.724950884086443,1.0,1.2861111111111112,0.0
720,1108,771,23430.0,9.191518098734642,0,0.11745066284481163,23.75998276196712,153,3535200,12016.06090478279,0,0.0,21.146209386281587,1.0,1.3111111111111111,0.0
810,1164,836,32549.0,8.123159781142496,3,0.12121475304976508,24.46183209561165,161,3754800,12732.314652398398,3,0.0,27.963058419243985,1.0,1.3222222222222222,0.0
900,1233,890,40137.0,8.035475042709667,5,0.1359813607313376,27.666853095223956,174,3978000,13620.30261293333,5,0.0,32.552311435523116,1.0,1.5361111111111112,0.0
990,1313,951,38539.0,7.507612877574478,2,0.1473305895773063,29.916496518818448,182,4226400,13616.883139678272,2,0.0,29.35186595582635,1.0,1.675,0.0
1080,1356,961,39371.0,8.419123435006481,4,0.14366628408522022,29.181742248374313,178,4377600,13061.421367649918,4,0.0,29.03466076696165,1.0,1.6111111111111112,0.0
1170,1413,972,40739.0,8.285403169630072,7,0.1510120665591961,30.555803951437305,185,4536000,13239.63270317507,7,0.0,28.83156404812456,1.0,1.6777777777777778,0.0
1260,1464,1058,35328.0,7.0279742963609,2,0.14794964475585665,29.889834223246297,184,4687200,14224.872682004994,2,0.0,24.131147540983605,1.0,1.6583333333333334,0.0
1350,1517,1103,44747.0,6.7458942676184765,3,0.15732005845334318,31.91549443611403,190,4863600,14817.536924498076,3,0.0,29.497033618984837,1.0,1.7638888888888888,0.0
1440,1567,1148,45035.0,6.8948283982121765,3,0.1629376154153953,32.96340074026042,194,5061600,14412.357705442357,3,0.0,28.73962986598596,1.0,1.8111111111111111,0.0
1530,1609,1178,49335.0,6.298090709148227,3,0.16618148095010338,33.43800110524206,195,5137200,14390.494408783483,3,0.0,30.661901802361715,1.0,1.8444444444444446,0.0
1620,1673,1209,50730.0,6.598156609193219,3,0.17267052991198606,34.99275066034613,196,5349600,13811.459077684623,3,0.0,30.322773460848776,1.0,1.875,0.0
1710,1710,1304,54513.0,6.439931623474763,5,0.17994368947255676,36.50667699146459,215,5518800,16836.1063356745,5,0.0,31.878947368421052,1.0,2.0527777777777776,0.0
1800,1743,1251,49042.0,7.178361261665713,4,0.16940000545162792,34.18804409911335,204,5587200,15092.658579772167,4,0.0,28.136546184738958,1.0,1.836111111111111,0.0
1890,1805,1295,57993.0,6.789772201051856,0,0.16668313236673973,33.79653268146404,201,5828400,14167.523494880428,0,0.0,32.12908587257618,1.0,1.7527777777777778,0.0
1980,1841,1375,58248.0,5.724188837535851,1,0.18088573455293946,36.579598127212705,213,5950800,15036.08832584944,1,0.0,31.639326453014665,1.0,1.9444444444444444,0.0
2070,1871,1426,66996.0,5.435575760179383,1,0.19108552243331928,38.933587038351,213,5990400,16997.07121953681,1,0.0,35.807589524318544,1.0,2.15,0.0
2160,1917,1378,64939.0,6.38248354058627,3,0.18620135834184404,37.655046320053835,213,6141600,15195.876197102163,3,0.0,33.87532603025561,1.0,2.011111111111111,0.0
2250,1946,1488,70743.0,5.333280368223173,5,0.1846341687512184,37.42486473088176,216,6300000,15116.700856670956,5,0.0,36.3530318602261,1.0,2.0055555555555555,0.0
2340,2028,1525,86660.0,5.006478808732569,5,0.19782248862452553,40.131560218202765,219,6555600,16789.825416441916,5,0.0,42.73175542406312,1.0,2.2055555555555557,0.0
2430,2065,1587,73704.0,5.417762803649549,1,0.19602521790866417,39.89213203429717,231,6688800,16378.710673670035,1,0.0,35.692009685230026,1.0,2.1416666666666666,0.0
2520,2090,1659,81983.0,4.983382032268108,4,0.19659141734049915,39.93669022167264,232,6782400,18691.67270053462,4,0.0,39.22631578947368,1.0,2.2083333333333335,0.0
2610,2129,1663,86902.0,4.6305401731393605,0,0.20245290060525165,41.0897379734761,229,6879600,17641.731394144943,0,0.0,40.818224518553315,1.0,2.2416666666666667,0.0
2700,2215,1638,73484.0,6.2356774103635395,3,0.20691588870590033,42.09726283498622,243,7182000,17830.731497924575,3,0.0,33.17562076749436,1.0,2.1777777777777776,0.0
2790,2258,1731,78326.0,4.966759051967684,1,0.2051632561778383,41.54335067814455,239,7207200,17969.30435352063,1,0.0,34.688219663418955,1.0,2.191666666666667,0.0
2880,2283,1810,91047.0,4.49048824090696,4,0.21259844335322575,43.090078727248404,238,7398000,17408.284827443324,4,0.0,39.88042049934297,1.0,2.313888888888889,0.0
2970,2306,1835,104449.0,4.401235225783821,0,0.21044544550248812,42.67453206643033,238,7459200,18623.87763392551,0,0.0,45.29444926279272,1.0,2.2805555555555554,0.0
3060,2338,1857,115858.0,4.0996863906941465,1,0.2042849830812405,41.4046911612371,234,7599600,18061.103693630685,1,0.0,49.55431993156544,1.0,2.1444444444444444,0.0
3150,2366,1880,105464.0,4.140924042793364,4,0.20510274051095398,41.60105792577022,224,7664400,17326.732170743602,4,0.0,44.57480980557904,1.0,2.088888888888889,0.0
3240,2413,1869,103245.0,4.617229779616382,1,0.20892229282014257,42.3426565875871,234,7743600,17403.780739007685,1,0.0,42.786987152921675,1.0,2.1777777777777776,0.0
3330,2494,1912,100652.0,4.481049437408232,3,0.2197659987102194,44.551194472910076,239,8067600,18202.11233939857,3,0.0,40.35765838011227,1.0,2.327777777777778,0.0
3420,2539,2056,103487.0,4.316753415824155,3,0.23248620511964732,47.16953802759073,246,8233200,20340.850537530245,3,0.0,40.758960220559274,1.0,2.525,0.0
3510,2599,2151,132590.0,3.9270210157232865,1,0.2309243651332184,46.924513888161144,249,8413200,20067.015640800615,1,0.0,51.01577529819161,1.0,2.4972222222222222,0.0
3600,2623,2040,116164.0,4.599804380127924,3,0.23415326705838158,47.5349323382983,253,8535600,18944.14133107386,3,0.0,44.28669462447579,1.0,2.4611111111111112,0.0
3690,2640,2089,100854.0,4.009756875194208,6,0.2404274384031069,48.75088177078414,267,8550000,21286.947995044175,6,0.0,38.20227272727273,1.0,2.6444444444444444,0.0
3780,2668,2104,118938.0,4.379457353301079,3,0.23848048795279367,48.49407860113507,263,8672400,21231.93540211878,3,0.0,44.579460269865066,1.0,2.561111111111111,0.0
3870,2744,2246,121397.0,3.566340218549716,1,0.2482510645067752,50.34695204036202,269,8877600,21041.61449440629,1,0.0,44.24088921282799,1.0,2.7305555555555556,0.0
3960,2778,2200,123060.0,4.029167337722125,2,0.24336269185773843,49.435718128993386,260,9028800,19048.066386130573,2,0.0,44.29805615550756,1.0,2.575,0.0
4050,2844,2297,113271.0,4.091572286106449,1,0.242993966880093,49.4584266574778,266,9187200,20905.13583817102,1,0.0,39.82805907172996,1.0,2.5694444444444446,0.0
4140,2852,2256,128152.0,4.357277405612794,2,0.24523336991940708,49.821783643371965,265,9165600,21038.33625883676,2,0.0,44.93408134642356,1.0,2.5944444444444446,0.0
4230,2901,2300,132598.0,3.936442256210635,1,0.2528790266787764,51.22277599215118,258,9349200,20974.412785237782,1,0.0,45.707687004481215,1.0,2.7083333333333335,0.0
4320,2950,2424,135387.0,3.5152580493358903,0,0.25944798920189976,52.85373657750874,274,9568800,21975.370980562428,0,0.0,45.89389830508475,1.0,2.8361111111111112,0.0
4410,2979,2478,155684.0,3.4775858215398854,0,0.2583950990590976,52.536339336500674,276,9662400,23730.41063958903,0,0.0,52.260490097348104,1.0,2.816666666666667,0.0
4500,3027,2531,173360.0,3.6640282021447232,3,0.25820716202208316,52.73851679970252,272,9828000,23168.42146860865,3,0.0,57.271225635943175,1.0,2.763888888888889,0.0
4590,3051,2493,166054.0,3.417117634208164,3,0.25684798267033954,52.06027590929153,264,9921600,20980.95713984591,3,0.0,54.42608980662078,1.0,2.7055555555555557,0.0
4680,3061,2487,169606.0,3.774113513983196,2,0.2555715127960552,51.66279697044771,266,9849600,22290.53825018652,2,0.0,55.40868997059784,1.0,2.638888888888889,0.0
4770,3097,2527,153399.0,3.41927511718504,1,0.2639370417081747,53.496878973640946,264,10026000,20923.020000857017,1,0.0,49.53148207943171,1.0,2.786111111111111,0.0
4860,3136,2620,162622.0,3.25464797851735,3,0.25896421716151746,52.47629660425935,273,10220400,22806.806874965376,3,0.0,51.85650510204081,1.0,2.761111111111111,0.0
4950,3193,2694,182761.0,3.122220660104306,1,0.2625589788596242,53.21871644210752,272,10382400,23733.79830636075,1,0.0,57.238020670216095,1.0,2.761111111111111,0.0
5040,3273,2657,169839.0,3.4903585867911313,1,0.27545398755088907,55.965665103219145,276,10623600,22550.965260703964,1,0.0,51.89092575618699,1.0,2.977777777777778,0.0
5130,3377,2869,163513.0,2.906127481300364,0,0.28263446540558956,57.607990889257316,286,11008800,24038.88705675559,0,0.0,48.419603198104824,1.0,3.0194444444444444,0.0
5220,3454,2880,186903.0,3.1274407118737697,1,0.2836434207858152,57.685539883862084,290,11224800,23927.79247734943,1,0.0,54.112044006948466,1.0,2.9944444444444445,0.0
5310,3474,2924,175313.0,2.7302521648154157,2,0.28762969873609073,58.4148957297436,288,11224800,22519.33084344034,2,0.0,50.464306275187106,1.0,3.0027777777777778,0.0
5400,3518,2883,176809.0,3.1198099935687305,1,0.2850282128598216,57.88897373217752,284,11440800,25471.35998228151,1,0.0,50.25838544627629,1.0,2.986111111111111,0.0
5490,3520,2958,190905.0,2.9566849940360678,1,0.2925391971025466,59.40232088897824,287,11494800,23070.768422566496,1,0.0,54.234375,1.0,3.075,0.0
5580,3569,2964,217258.0,3.1418696750962893,3,0.2926981197577072,59.296360271937104,290,11606400,23362.97584818142,3,0.0,60.8736340711684,1.0,3.0805555555555557,0.0
5670,3601,3019,211537.0,3.0050484584939667,1,0.2973730328099049,60.39786774442695,297,11768400,23369.99122686832,1,0.0,58.74396001110802,1.0,3.1666666666666665,0.0
5760,3639,2985,176668.0,3.3018715053928305,2,0.29441807703189665,60.08216203801691,294,11869200,22936.73508131513,2,0.0,48.54850233580654,1.0,2.986111111111111,0.0
5850,3748,3113,193235.0,3.0563032999977824,3,0.3012826220474918,61.338506675653214,295,12283200,23917.37222268937,3,0.0,51.5568303094984,1.0,3.1416666666666666,0.0
5940,3799,3225,196193.0,2.4513817121586143,2,0.30355771595051007,61.73132858891877,293,12427200,24540.38528763731,2,0.0,51.64332719136615,1.0,3.188888888888889,0.0
6030,3828,3307,234702.0,2.198656167933481,3,0.3071718815618898,62.34914397236279,297,12510000,25761.94145754744,3,0.0,61.31191222570533,1.0,3.202777777777778,0.0
6120,3871,3278,231445.0,2.655541843891425,0,0.3097292324413889,62.93902451708243,298,12661200,26690.40306269944,0,0.0,59.7894600878326,1.0,3.213888888888889,0.0
6210,3908,3338,213743.0,2.463078800006988,0,0.3159796002532675,64.18207027599789,306,12711600,26091.824375889133,0,0.0,54.69370522006141,1.0,3.308333333333333,0.0
6300,4011,3381,236648.0,2.6278439022516147,1,0.3239829843615501,65.90533011138936,312,13068000,27814.25553254144,1,0.0,58.99975068561456,1.0,3.4,0.0
6390,4066,3482,234112.0,2.265814185726761,2,0.33179528279480813,67.28640976199075,316,13262400,26712.00109714107,2,0.0,57.57796360059026,1.0,3.4722222222222223,0.0
6480,4096,3484,241428.0,2.4953618138221234,2,0.33267042564544363,67.69807354458389,321,13381200,29387.95093129612,2,0.0,58.9423828125,1.0,3.5083333333333333,0.0
6570,4141,3467,210487.0,2.514659310921787,1,0.33163358494237616,67.32127776671972,322,13446000,26471.62715794498,1,0.0,50.8299927553731,1.0,3.4277777777777776,0.0
6660,4145,3572,239090.0,2.360024089142167,1,0.32713039579676095,66.54883399833045,312,13489200,30224.90554932383,1,0.0,57.68154402895054,1.0,3.4611111111111112,0.0
6750,4193,3573,259084.0,2.4667796742248114,2,0.3269775894242481,66.11839018645061,312,13683600,29099.574135590217,2,0.0,61.78964941569282,1.0,3.35,0.0
6840,4210,3515,239483.0,2.8492928924045873,1,0.3377666531502212,68.36508475243535,320,13734000,27774.241525525285,1,0.0,56.884323040380046,1.0,3.5194444444444444,0.0
6930,4226,3639,226337.0,2.40934959948853,3,0.35031546179913153,71.26541265655196,329,13730400,28973.838501993956,3,0.0,53.55821107430194,1.0,3.772222222222222,0.0
7020,4296,3709,264956.0,2.3167897241581454,1,0.3447379331027274,69.88199362167278,330,13910400,30575.667025214763,1,0.0,61.67504655493482,1.0,3.658333333333333,0.0
7110,4327,3641,248945.0,2.398886527718609,4,0.350539618444224,71.28430190915255,328,14090400,29572.151853324343,4,0.0,57.53293274786226,1.0,3.6805555555555554,0.0
7200,4352,3705,265874.0,2.508078119289423,2,0.34083250723660696,69.2305331194815,320,14162400,28264.471457180043,2,0.0,61.09237132352941,1.0,3.5722222222222224,0.0
7290,4479,3859,261378.0,1.8855770631401656,1,0.35074296265778304,71.3142798351042,329,14684400,29798.868640653185,1,0.0,58.356329537843266,1.0,3.691666666666667,0.0
7300,4498,3807,258316.0,2.3557610281863677,1,0.34163451306120013,69.91862292064297,331,14709600,26648.332989814888,1,0.0,57.429079590929305,1.0,3.3777777777777778,0.0
