timestamp,total_vehicles,vehicles_waiting,total_waiting_time,avg_speed_kmh,throughput,avg_occupancy,avg_density,num_bottleneck_edges,total_flow,avg_edge_travel_time,vehicles_arrived,avg_trip_duration,avg_waiting_per_vehicle,phase_green_ratio,avg_queue_length,total_vehicle_minutes_lost
90,267,133,3136.0,18.023059253514376,0,0.03771571761996171,7.569260900020082,78,914400,5181.943390076675,0,0.0,11.745318352059925,1.0,0.36666666666666664,0.0
180,488,297,6947.0,12.615468971850477,0,0.0703172429759061,14.104213640065648,109,1598400,7397.891549891515,0,0.0,14.235655737704919,1.0,0.7583333333333333,0.0
270,663,411,10317.0,13.14806820569863,0,0.09083418396875674,18.266440433543472,130,2160000,10043.72890622477,0,0.0,15.561085972850679,1.0,1.0222222222222221,0.0
360,770,510,14228.0,10.858673937070343,5,0.09769867988928176,19.75877481554952,146,2509200,11239.745077059139,5,0.0,18.477922077922077,1.0,1.1166666666666667,0.0
450,871,585,17127.0,10.189114721478342,2,0.10721557243833928,21.595244426682545,152,2815200,11763.740165646554,2,0.0,19.663605051664753,1.0,1.2166666666666666,0.0
540,938,658,23076.0,9.91489397962741,3,0.11534477623085346,23.280809751758795,156,3081600,11862.859103323231,3,0.0,24.601279317697227,1.0,1.3388888888888888,0.0
630,996,679,22269.0,9.220702734671299,2,0.1208484113191641,24.37755548482705,153,3222000,11702.144881229558,2,0.0,22.35843373493976,1.0,1.3888888888888888,0.0
720,1044,699,26648.0,9.706800480798545,2,0.11860618293362617,24.00045373730493,153,3351600,10745.616891219737,2,0.0,25.52490421455939,1.0,1.3138888888888889,0.0
810,1132,748,28084.0,10.078613297197526,1,0.12362415230085923,25.011510312475764,173,3614400,13221.39468269029,1,0.0,24.809187279151942,1.0,1.3833333333333333,0.0
900,1204,798,25378.0,9.412430229934285,5,0.12778792224038277,25.931939383964277,172,3898800,12915.964178843707,5,0.0,21.078073089700997,1.0,1.4027777777777777,0.0
990,1250,843,26909.0,8.527344183469557,3,0.13682937884501525,27.751411658098267,174,4042800,12863.480941731787,3,0.0,21.5272,1.0,1.525,0.0
1080,1323,939,31485.0,7.786528628545584,4,0.14249746044127065,28.67832826773509,171,4262400,12402.455606905867,4,0.0,23.798185941043084,1.0,1.5888888888888888,0.0
1170,1358,1007,33761.0,6.780790700960447,1,0.15267454041809628,30.853282022275998,192,4406400,14883.5303150102,1,0.0,24.86082474226804,1.0,1.7583333333333333,0.0
1260,1431,1055,46057.0,6.694838954918021,1,0.14805547695780816,29.925329937299338,193,4575600,14948.306378393205,1,0.0,32.18518518518518,1.0,1.6611111111111112,0.0
1350,1511,1156,50262.0,6.21028100441362,1,0.15103128572066288,30.501799181731457,192,4845600,14167.745816964903,1,0.0,33.26406353408339,1.0,1.6666666666666667,0.0
1440,1578,1188,51403.0,6.649791038507823,3,0.15698892698655023,31.982488801256363,200,5050800,15082.856909933615,3,0.0,32.57477820025348,1.0,1.7222222222222223,0.0
1530,1647,1208,61141.0,7.207718831571635,6,0.16739179583150537,33.9455002187591,198,5184000,15643.33644618753,6,0.0,37.12264723740134,1.0,1.8972222222222221,0.0
1620,1716,1205,45257.0,7.049391538235134,2,0.16411271998279187,33.25852714685507,195,5436000,13588.999606079213,2,0.0,26.373543123543122,1.0,1.761111111111111,0.0
1710,1759,1318,44638.0,5.971417562250688,3,0.17917496208970943,36.45683526566135,215,5644800,15155.74672537312,3,0.0,25.376918703808983,1.0,1.9472222222222222,0.0
1800,1839,1356,53409.0,6.186875390234804,2,0.17757362943299876,35.97011203866795,213,5878800,15385.536901565036,2,0.0,29.042414355628058,1.0,1.9527777777777777,0.0
1890,1895,1431,73607.0,5.719414050415126,5,0.18657224651178408,37.753479460262845,212,6098400,15647.632545823883,5,0.0,38.84274406332454,1.0,2.013888888888889,0.0
1980,1970,1516,66778.0,5.064356144841602,2,0.18631503674454153,37.72021912404089,211,6339600,16285.645179503317,2,0.0,33.89746192893401,1.0,2.047222222222222,0.0
2070,2040,1505,56051.0,5.661242039037474,4,0.19725267339233268,39.93307036288114,224,6595200,15568.858469359599,4,0.0,27.475980392156863,1.0,2.1333333333333333,0.0
2160,2065,1586,65741.0,5.82418000529376,4,0.20156880004529537,40.80028005232633,232,6667200,17618.010973666776,4,0.0,31.83583535108959,1.0,2.2222222222222223,0.0
2250,2106,1549,72096.0,5.684152279549214,3,0.2028453970858722,41.012570283710325,235,6750000,16791.43052831483,3,0.0,34.23361823361823,1.0,2.2083333333333335,0.0
2340,2117,1562,70715.0,5.939428025914455,6,0.2012857322022637,40.59537465138084,234,6782400,18629.65726077844,6,0.0,33.40340103920642,1.0,2.1666666666666665,0.0
2430,2193,1669,78726.0,5.189254654068985,2,0.2008081934135282,40.63153838021436,237,7084800,17498.21445425059,2,0.0,35.89876880984952,1.0,2.158333333333333,0.0
2520,2260,1721,84024.0,4.853803952543116,1,0.20450550988137364,41.52901257339306,233,7254000,16986.624694383474,1,0.0,37.1787610619469,1.0,2.2055555555555557,0.0
2610,2350,1865,105198.0,5.138810635071117,2,0.2172806271620566,43.89672288223066,237,7599600,19107.15124951406,2,0.0,44.76510638297872,1.0,2.3194444444444446,0.0
2700,2371,1800,88552.0,4.840024714036573,1,0.2190760788300309,44.496390109972616,244,7621200,18111.688114691227,1,0.0,37.34795444959933,1.0,2.363888888888889,0.0
2790,2423,1892,91115.0,4.350190509975992,6,0.22438890579001028,45.62780813356178,250,7822800,18947.965102055656,6,0.0,37.604209657449445,1.0,2.411111111111111,0.0
2880,2486,1939,114982.0,4.243179418049345,1,0.2266557231469196,45.978217749395704,253,8060400,20387.955065658753,1,0.0,46.25181013676589,1.0,2.4305555555555554,0.0
2970,2562,2079,118036.0,3.5319934841326175,3,0.23178480063210272,47.12918043734408,240,8308800,18569.861235410954,3,0.0,46.07181889149102,1.0,2.5166666666666666,0.0
3060,2646,2171,124587.0,3.669486425408504,2,0.23293523574129799,47.254573791659226,254,8618400,21598.004857846496,2,0.0,47.085034013605444,1.0,2.4916666666666667,0.0
3150,2731,2111,120915.0,4.67635661171932,2,0.2439213650348707,49.552775131182486,256,8787600,19970.84107093386,2,0.0,44.274990845844016,1.0,2.6083333333333334,0.0
3240,2795,2280,128250.0,3.9854647460788057,1,0.24462187893529547,49.70878283860236,260,9072000,20440.2662114354,1,0.0,45.88550983899821,1.0,2.613888888888889,0.0
3330,2791,2293,142980.0,3.6862017147597896,3,0.24271979354818038,49.23227788539859,268,9007200,22707.35501185045,3,0.0,51.228950197061984,1.0,2.6416666666666666,0.0
3420,2800,2276,124920.0,3.401549863695541,4,0.2400753417269856,48.524497449700895,257,9028800,19960.142342670137,4,0.0,44.614285714285714,1.0,2.5416666666666665,0.0
3510,2881,2354,125550.0,3.2530922146621615,2,0.25429705183704526,51.74778857911571,266,9331200,20349.292058216037,2,0.0,43.578618535230824,1.0,2.7583333333333333,0.0
3600,2936,2419,127286.0,3.365208948350137,2,0.2471378170290063,50.12400988715053,267,9619200,21278.57307142546,2,0.0,43.35354223433242,1.0,2.638888888888889,0.0
3690,2964,2412,153018.0,3.4811362550012936,1,0.2577881110546993,52.197210653456445,272,9612000,20964.036139885982,1,0.0,51.625506072874494,1.0,2.8194444444444446,0.0
3780,2994,2352,135455.0,4.31358843648125,0,0.2599996322971229,52.769229061440896,268,9669600,20868.27418475813,0,0.0,45.24215096860387,1.0,2.7916666666666665,0.0
3870,3007,2482,132760.0,3.4483521804190493,0,0.2586165766874484,52.493591027998356,275,9745200,21182.16395667566,0,0.0,44.150315929497836,1.0,2.7916666666666665,0.0
