metric,tree_mean,tree_std,fixed_mean,fixed_std,difference,improvement_pct,cohens_d,separation
avg_waiting_per_vehicle,32.57099378793258,8.057898979287568,43.45361837020319,13.748128618123193,-10.882624582270608,-25.04423104551632,0.9657893762597909,0.4990649733729039
total_waiting_time,77793.65853658537,36150.27307106643,137361.75609756098,87385.3463635192,-59568.09756097561,-43.36585324278139,0.8908121196220026,0.48219370116582455
avg_edge_travel_time,16729.388093521895,3509.017489202831,20570.242010676084,6344.572914149816,-3840.853917154189,-18.67189464839919,0.7491813874196779,0.3897923254296579
vehicles_waiting,1636.739024390244,583.2463167805457,2281.4243902439025,1115.0444814009338,-644.6853658536586,-28.258020235539632,0.7245255623967507,0.37960834890231054
avg_speed_kmh,6.6689180333783025,2.4417989763210555,4.809485747513225,2.986968077060366,1.8594322858650774,38.66176933420603,0.6816010876073777,0.3425146571184871
total_flow,7174238.048780488,2267177.913794194,9092581.463414634,4000309.63589958,-1918343.4146341458,-21.097896371375814,0.5900141609455406,0.30607853616364583
total_vehicles,2236.2756097560978,700.8277089968682,2798.790243902439,1217.8038890149514,-562.5146341463415,-20.098492031400326,0.5661775080035609,0.293185327881208
avg_queue_length,2.2004539295392953,0.5484158094828243,2.561415989159892,0.8493245724645221,-0.3609620596205967,-14.092285718064371,0.5049254751050957,0.25824685634230626
avg_density,42.42586960174844,10.938114744479556,48.866636485030256,17.064694214751523,-6.4407668832818175,-13.180295077716009,0.44937920485061844,0.2300043146621057
avg_occupancy,0.20976836927789855,0.0538956978512715,0.24077427445647004,0.08371348649451289,-0.03100590517857149,-12.877582228651715,0.4404164793990545,0.22531857394532506
num_bottleneck_edges,238.79268292682926,47.56852254069221,254.28780487804877,63.60556884317887,-15.495121951219517,-6.093537186594795,0.27589844864001317,0.13937709549355956
throughput,2.046341463414634,1.5382279257949454,1.9780487804878049,1.5545389395874374,0.06829268292682933,3.4525277435265136,0.0441622250650361,0.022081419615308046
vehicles_arrived,2.046341463414634,1.5382279257949454,1.9780487804878049,1.5545389395874374,0.06829268292682933,3.4525277435265136,0.0441622250650361,0.022081419615308046
avg_trip_duration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phase_green_ratio,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
total_vehicle_minutes_lost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
