Run,Tree,Uniform,Actuated
1,17555,13117,12311
2,18064,13295,12680
3,17890,12734,11179
4,17925,11304,13145
5,18519,11720,14261
6,14537,12566,12820
7,15938,13445,11767
8,17962,12233,12359
9,13104,13077,11632
10,18311,12680,12821
11,18594,11681,14464
12,15653,12252,11902
13,17826,12556,13340
14,17845,13051,12104
15,18741,12329,12711
16,15635,2385,12401
17,18655,12390,11721
18,18760,10856,12880
19,18190,12211,13716
20,13524,10795,12389
