Run,CurrentTree,Uniform,Actuated
1,429,585,631
2,367,682,681
3,389,606,687
4,405,661,709
5,354,658,748
6,360,606,631
7,463,607,676
8,381,668,654
9,537,549,688
10,414,648,623
11,353,611,733
12,473,607,759
13,347,565,640
14,432,585,674
15,351,628,640
16,534,618,634
17,343,607,714
18,359,706,629
19,404,616,742
20,392,737,649
