checkpoint, Throughput, Average duration
rl_traffic_model_978944_steps.zip, 8302.00, 648.50
rl_traffic_model_983040_steps.zip, 8302.00, 648.50
rl_traffic_model_987136_steps.zip, 8299.00, 636.50
rl_traffic_model_991232_steps.zip, 8372.00, 649.00
rl_traffic_model_995328_steps.zip, 8389.00, 643.80
rl_traffic_model_999424_steps.zip, 8161.00, 660.50
rl_traffic_model_1003520_steps.zip, 8199.00, 661.00
rl_traffic_model_1007616_steps.zip, 8298.00, 654.50
rl_traffic_model_1011712_steps.zip, 8258.00, 656.50
rl_traffic_model_1015808_steps.zip, 8337.00, 628.60
rl_traffic_model_1019904_steps.zip, 8386.00, 629.60
rl_traffic_model_1024000_steps.zip, 8452.00, 623.00
rl_traffic_model_1028096_steps.zip, 8224.00, 625.50
rl_traffic_model_1032192_steps.zip, 8174.00, 663.80
rl_traffic_model_1036288_steps.zip, 8291.00, 633.80
rl_traffic_model_1040384_steps.zip, 8319.00, 645.30
rl_traffic_model_1044480_steps.zip, 8287.00, 626.00
rl_traffic_model_1048576_steps.zip, 8270.00, 644.50
rl_traffic_model_1052672_steps.zip, 8377.00, 652.10
rl_traffic_model_1056768_steps.zip, 8320.00, 634.80
rl_traffic_model_1060864_steps.zip, 8486.00, 608.60
rl_traffic_model_1064960_steps.zip, 8280.00, 655.20
rl_traffic_model_1069056_steps.zip, 8282.00, 629.50
rl_traffic_model_1073152_steps.zip, 8260.00, 659.00
rl_traffic_model_1077248_steps.zip, 8565.00, 600.20
rl_traffic_model_1081344_steps.zip, 8356.00, 636.60
rl_traffic_model_1085440_steps.zip, 8529.00, 598.90
rl_traffic_model_1089536_steps.zip, 8427.00, 619.00
rl_traffic_model_1093632_steps.zip, 8427.00, 619.00
rl_traffic_model_1097728_steps.zip, 8267.00, 659.30
rl_traffic_model_1101824_steps.zip, 8249.00, 647.50
rl_traffic_model_1105920_steps.zip, 8363.00, 645.10
rl_traffic_model_1110016_steps.zip, 8421.00, 621.10
rl_traffic_model_1114112_steps.zip, 8427.00, 633.50
rl_traffic_model_1118208_steps.zip, 8300.00, 649.00
rl_traffic_model_1122304_steps.zip, 8217.00, 679.20
rl_traffic_model_1126400_steps.zip, 8461.00, 633.00
rl_traffic_model_1130496_steps.zip, 8580.00, 610.60
rl_traffic_model_1134592_steps.zip, 8406.00, 619.00
rl_traffic_model_1138688_steps.zip, 8230.00, 676.00
rl_traffic_model_1142784_steps.zip, 8119.00, 677.40
rl_traffic_model_1146880_steps.zip, 8409.00, 630.80
rl_traffic_model_1150976_steps.zip, 8086.00, 708.20
rl_traffic_model_1155072_steps.zip, 8340.00, 648.30
rl_traffic_model_1159168_steps.zip, 8316.00, 641.40
rl_traffic_model_1163264_steps.zip, 8350.00, 640.60
rl_traffic_model_1167360_steps.zip, 8407.00, 654.00
rl_traffic_model_1171456_steps.zip, 8407.00, 654.00
rl_traffic_model_1175552_steps.zip, 8239.00, 663.20
rl_traffic_model_1179648_steps.zip, 8195.00, 663.10
rl_traffic_model_1183744_steps.zip, 8527.00, 606.50
rl_traffic_model_1187840_steps.zip, 8459.00, 648.40
rl_traffic_model_1191936_steps.zip, 8040.00, 703.90
rl_traffic_model_1196032_steps.zip, 8374.00, 622.20
rl_traffic_model_1200128_steps.zip, 8248.00, 675.90
rl_traffic_model_1204224_steps.zip, 8248.00, 675.90
rl_traffic_model_1208320_steps.zip, 8522.00, 610.50
rl_traffic_model_1212416_steps.zip, 8439.00, 632.80
rl_traffic_model_1216512_steps.zip, 8249.00, 650.60
rl_traffic_model_1220608_steps.zip, 8283.00, 643.20
rl_traffic_model_1224704_steps.zip, 8447.00, 645.20
rl_traffic_model_1228800_steps.zip, 8455.00, 620.40
rl_traffic_model_1232896_steps.zip, 8340.00, 667.20
rl_traffic_model_1236992_steps.zip, 8474.00, 622.10
rl_traffic_model_1241088_steps.zip, 8381.00, 649.00
rl_traffic_model_1245184_steps.zip, 8324.00, 680.20
rl_traffic_model_1249280_steps.zip, 8256.00, 683.80
rl_traffic_model_1253376_steps.zip, 8531.00, 641.60
rl_traffic_model_1257472_steps.zip, 8454.00, 617.40
rl_traffic_model_1261568_steps.zip, 8545.00, 599.10
rl_traffic_model_1265664_steps.zip, 8139.00, 666.80
rl_traffic_model_1269760_steps.zip, 8144.00, 692.50
rl_traffic_model_1273856_steps.zip, 8314.00, 632.10
rl_traffic_model_1277952_steps.zip, 8351.00, 624.50
rl_traffic_model_1282048_steps.zip, 8442.00, 643.90
rl_traffic_model_1286144_steps.zip, 8278.00, 647.00
rl_traffic_model_1290240_steps.zip, 8356.00, 642.60
rl_traffic_model_1294336_steps.zip, 8321.00, 640.20
rl_traffic_model_1298432_steps.zip, 8326.00, 650.20
rl_traffic_model_1302528_steps.zip, 8358.00, 628.20
rl_traffic_model_1306624_steps.zip, 8163.00, 656.30
rl_traffic_model_1310720_steps.zip, 8284.00, 643.70
rl_traffic_model_1314816_steps.zip, 8284.00, 643.70
rl_traffic_model_1318912_steps.zip, 8365.00, 638.00
rl_traffic_model_1323008_steps.zip, 8042.00, 678.80
rl_traffic_model_1327104_steps.zip, 8338.00, 611.80
rl_traffic_model_1331200_steps.zip, 8353.00, 620.30
rl_traffic_model_1335296_steps.zip, 8431.00, 624.30
rl_traffic_model_1339392_steps.zip, 8431.00, 624.30
rl_traffic_model_1343488_steps.zip, 8183.00, 681.20
rl_traffic_model_1347584_steps.zip, 8319.00, 628.00
rl_traffic_model_1351680_steps.zip, 8251.00, 645.00
rl_traffic_model_1355776_steps.zip, 8442.00, 632.60
rl_traffic_model_1359872_steps.zip, 8277.00, 650.50
rl_traffic_model_1363968_steps.zip, 8378.00, 621.90
rl_traffic_model_1368064_steps.zip, 8453.00, 637.40
rl_traffic_model_1372160_steps.zip, 8492.00, 623.00
rl_traffic_model_1376256_steps.zip, 8085.00, 689.10
rl_traffic_model_1380352_steps.zip, 8497.00, 614.60
rl_traffic_model_1384448_steps.zip, 8656.00, 593.80
rl_traffic_model_1388544_steps.zip, 8412.00, 621.40
rl_traffic_model_1392640_steps.zip, 8208.00, 663.90
rl_traffic_model_1396736_steps.zip, 8278.00, 648.00
rl_traffic_model_1400832_steps.zip, 8480.00, 627.90
rl_traffic_model_1404928_steps.zip, 8311.00, 662.00
rl_traffic_model_1409024_steps.zip, 8354.00, 646.80
rl_traffic_model_1413120_steps.zip, 8604.00, 598.50
rl_traffic_model_1417216_steps.zip, 8034.00, 677.20
rl_traffic_model_1421312_steps.zip, 8483.00, 619.00
rl_traffic_model_1425408_steps.zip, 8521.00, 595.10
rl_traffic_model_1429504_steps.zip, 8408.00, 628.40
rl_traffic_model_1433600_steps.zip, 8496.00, 623.10
rl_traffic_model_1437696_steps.zip, 8426.00, 623.60
rl_traffic_model_1441792_steps.zip, 8424.00, 621.70
rl_traffic_model_1445888_steps.zip, 8514.00, 612.60
rl_traffic_model_1449984_steps.zip, 8355.00, 635.00
rl_traffic_model_1454080_steps.zip, 8637.00, 583.50
rl_traffic_model_1458176_steps.zip, 8481.00, 626.80
rl_traffic_model_1462272_steps.zip, 8317.00, 666.60
rl_traffic_model_1466368_steps.zip, 8400.00, 643.50
rl_traffic_model_1470464_steps.zip, 8400.00, 643.50
rl_traffic_model_1474560_steps.zip, 8474.00, 616.90
rl_traffic_model_1478656_steps.zip, 8426.00, 612.40
rl_traffic_model_1482752_steps.zip, 8499.00, 615.90
rl_traffic_model_1486848_steps.zip, 8296.00, 634.00
rl_traffic_model_1490944_steps.zip, 8408.00, 629.40
rl_traffic_model_1495040_steps.zip, 8293.00, 629.50
rl_traffic_model_1499136_steps.zip, 8416.00, 636.80
rl_traffic_model_1503232_steps.zip, 8324.00, 642.20
rl_traffic_model_1507328_steps.zip, 8347.00, 634.90
rl_traffic_model_1511424_steps.zip, 8450.00, 603.60
rl_traffic_model_1515520_steps.zip, 8320.00, 638.80
rl_traffic_model_1519616_steps.zip, 8124.00, 652.10
rl_traffic_model_1523712_steps.zip, 8456.00, 610.80
rl_traffic_model_1527808_steps.zip, 8497.00, 616.30
rl_traffic_model_1531904_steps.zip, 8489.00, 614.40
rl_traffic_model_1536000_steps.zip, 8546.00, 596.90
rl_traffic_model_1540096_steps.zip, 8148.00, 680.60
rl_traffic_model_1544192_steps.zip, 8117.00, 680.60
rl_traffic_model_1548288_steps.zip, 8461.00, 616.40
rl_traffic_model_1552384_steps.zip, 8316.00, 639.60
rl_traffic_model_1556480_steps.zip, 8440.00, 611.20
rl_traffic_model_1560576_steps.zip, 8412.00, 624.20
rl_traffic_model_1564672_steps.zip, 8281.00, 657.60
rl_traffic_model_1568768_steps.zip, 8276.00, 657.50
rl_traffic_model_1572864_steps.zip, 8352.00, 642.60
rl_traffic_model_1576960_steps.zip, 8460.00, 624.00
rl_traffic_model_1581056_steps.zip, 8352.00, 645.60
rl_traffic_model_1585152_steps.zip, 8327.00, 651.20
rl_traffic_model_1589248_steps.zip, 8327.00, 651.20
